ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	mysimulations.Gatling30	gatling30	1670494244801	Gatling Execution	3.6.1
GROUP	Homepage_tx	1670494273299	1670494274865	1561	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494278790	1670494279148	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494279154	1670494279404	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494279153	1670494279411	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494279154	1670494279413	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494279152	1670494279417	OK	 
GROUP	SelectFlight_tx	1670494278790	1670494279418	625	OK
REQUEST	FindFlight_tx	FindFlightRequest	1670494279877	1670494280244	OK	 
USER	BlazeHomePage	START	1670494280300
REQUEST	FindFlight_tx	bootstrap-table.css	1670494280256	1670494280518	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494280253	1670494280519	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494280255	1670494280523	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494280255	1670494280525	OK	 
GROUP	FindFlight_tx	1670494279877	1670494280525	640	OK
REQUEST	Homepage_tx	Homepage_request	1670494280300	1670494281023	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494281038	1670494281125	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494281041	1670494281380	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494281048	1670494281691	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494281043	1670494281771	OK	 
REQUEST	Homepage_tx	bootstrap.min.css	1670494281045	1670494282130	OK	 
GROUP	Homepage_tx	1670494280300	1670494282283	1969	OK
REQUEST	SelectFlight_tx	SelectFlight_request	1670494285533	1670494285905	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494285913	1670494286168	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494285917	1670494286184	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494285915	1670494286186	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494285914	1670494286187	OK	 
GROUP	SelectFlight_tx	1670494285532	1670494286188	648	OK
USER	BlazeHomePage	START	1670494286293
REQUEST	Homepage_tx	Homepage_request	1670494286293	1670494286713	OK	 
REQUEST	Homepage_tx	jquery.min.js	1670494286716	1670494286777	OK	 
REQUEST	Homepage_tx	bootstrap.min.js	1670494286716	1670494287029	OK	 
REQUEST	Homepage_tx	bootstrap-table.css	1670494286718	1670494287142	OK	 
REQUEST	Homepage_tx	bootstrap-table.js	1670494286717	1670494287314	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494287297	1670494287660	OK	 
REQUEST	FindFlight_tx	bootstrap.min.js	1670494287665	1670494287920	OK	 
REQUEST	FindFlight_tx	bootstrap-table.css	1670494287667	1670494287922	OK	 
REQUEST	FindFlight_tx	bootstrap.min.css	1670494287666	1670494287924	OK	 
REQUEST	FindFlight_tx	bootstrap-table.js	1670494287666	1670494287936	OK	 
GROUP	FindFlight_tx	1670494287296	1670494287936	635	OK
REQUEST	Homepage_tx	bootstrap.min.css	1670494286717	1670494288052	OK	 
GROUP	Homepage_tx	1670494286293	1670494288170	1875	OK
USER	BlazeHomePage	START	1670494293276
REQUEST	SelectFlight_tx	SelectFlight_request	1670494292949	1670494293328	OK	 
REQUEST	FindFlight_tx	FindFlightRequest	1670494293181	1670494293585	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.js	1670494293334	1670494293598	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.js	1670494293333	1670494293600	OK	 
REQUEST	SelectFlight_tx	bootstrap-table.css	1670494293337	1670494293602	OK	 
REQUEST	SelectFlight_tx	bootstrap.min.css	1670494293335	1670494293617	OK	 
